Time,CPU (%),Memory (%),Disk (%)
13:14:38,1.0,64.4,87.9
13:14:39,1.0,64.4,87.9
13:14:40,0.5,64.4,87.9
13:14:41,1.0,64.4,87.9
13:14:42,1.0,64.4,87.9
13:14:43,0.5,64.4,87.9
13:14:44,1.5,64.4,87.9
13:14:45,1.0,64.4,87.9
13:14:46,0.5,64.4,87.9
13:14:47,0.0,64.4,87.9
13:14:48,1.0,64.4,87.9
13:14:49,0.5,64.4,87.9
13:14:50,0.5,64.4,87.9
13:14:51,1.0,64.4,87.9
13:14:52,0.5,64.4,87.9
13:14:53,0.5,64.4,87.9
13:14:54,0.5,64.4,87.9
13:14:55,1.0,64.4,87.9
13:14:56,0.0,64.4,87.9
13:14:57,1.0,64.4,87.9
13:14:58,1.5,64.4,87.9
13:14:59,0.5,64.4,87.9
13:15:00,1.0,64.4,87.9
13:15:01,0.5,64.4,87.9
13:15:02,1.0,64.4,87.9
13:15:03,1.6,64.4,87.9
13:15:04,0.5,64.4,87.9
13:15:05,0.5,64.4,87.9
13:15:06,1.0,64.4,87.9
13:15:07,0.5,64.4,87.9
13:15:08,1.0,64.4,87.9
13:15:09,3.2,64.7,87.9
13:15:10,1.0,64.5,87.9
13:15:11,0.5,64.5,87.9
13:15:12,2.1,64.5,87.9
13:15:13,10.9,64.5,87.9
13:15:14,17.1,64.5,87.9
13:15:15,2.0,64.5,87.9
13:15:16,1.5,64.5,87.9
13:15:17,5.7,64.5,87.9
13:15:18,1.5,64.5,87.9
13:15:19,4.7,64.5,87.9
13:15:20,1.5,64.5,87.9
13:15:21,9.4,64.5,87.9
13:15:22,8.4,64.5,87.9
13:15:23,2.6,64.5,87.9
13:15:24,15.1,64.5,87.9
13:15:25,5.3,64.5,87.9
13:15:26,7.3,64.5,87.9
13:15:27,1.5,64.5,87.9
13:15:28,6.8,64.5,87.9
13:15:29,3.6,64.5,87.9
13:15:30,5.7,64.5,87.9
13:15:31,2.1,64.5,87.9
13:15:32,6.3,64.5,87.9
13:15:33,9.9,64.5,87.9
13:15:34,1.5,64.5,87.9
13:15:35,0.5,64.5,87.9
13:15:36,1.5,64.5,87.9
13:15:37,10.2,65.2,87.9
13:15:38,2.0,65.2,87.9
13:15:39,8.3,65.3,87.9
13:15:40,2.1,65.3,87.9
13:15:41,0.0,65.3,87.9
13:15:42,30.9,65.5,87.9
13:15:43,100.0,65.5,87.9
13:15:44,100.0,66.0,87.9
13:15:46,100.0,65.9,87.9
13:15:47,98.0,65.9,87.9
13:15:48,94.3,66.0,87.9
13:15:49,100.0,66.0,87.9
13:15:50,89.3,66.0,87.9
13:15:52,100.0,66.0,87.9
13:15:53,100.0,66.0,87.9
13:15:54,96.2,66.0,87.9
13:15:55,100.0,66.0,87.9
13:15:56,100.0,66.0,87.9
13:15:57,100.0,66.0,87.9
13:15:58,100.0,66.0,87.9
13:15:59,100.0,66.0,87.9
13:16:00,98.8,66.0,87.9
13:16:02,100.0,66.0,87.9
13:16:04,100.0,66.0,87.9
13:16:05,100.0,66.0,87.9
13:16:06,100.0,66.0,87.9
13:16:07,100.0,66.0,87.9
13:16:08,100.0,66.0,87.9
13:16:10,100.0,66.0,87.9
13:16:11,6.7,66.0,87.9
13:16:12,0.0,66.0,87.9
13:16:13,0.0,66.0,87.9
13:16:14,0.5,66.0,87.9
13:16:15,1.0,66.0,87.9
13:16:16,1.0,66.0,87.9
13:16:17,1.0,66.0,87.9
13:16:18,1.0,66.0,87.9
13:16:19,0.5,66.0,87.9
13:16:20,1.0,66.0,87.9
13:16:21,0.5,66.0,87.9
13:16:22,0.0,66.0,87.9
13:16:23,1.0,66.0,87.9
13:16:24,0.0,66.0,87.9
13:16:25,1.0,66.0,87.9
13:16:26,0.0,66.0,87.9
13:16:27,1.0,66.0,87.9
13:16:28,0.0,66.0,87.9
13:16:29,0.5,66.0,87.9
13:16:30,1.0,66.0,87.9
13:16:31,1.0,66.0,87.9
13:16:32,1.0,66.0,87.9
13:16:33,0.0,66.0,87.9
13:16:34,0.5,66.0,87.9
13:16:35,0.0,66.0,87.9
13:16:36,1.0,66.0,87.9
13:16:37,0.0,66.0,87.9
13:16:38,1.0,66.0,87.9
13:16:39,0.5,66.0,87.9
13:16:40,1.0,66.0,87.9
13:16:41,0.5,66.0,87.9
13:16:42,0.5,66.0,87.9
13:16:43,0.5,66.0,87.9
13:16:44,1.0,66.0,87.9
13:16:45,0.5,66.0,87.9
13:16:46,0.5,66.0,87.9
13:16:47,1.0,66.0,87.9
13:16:48,0.5,66.0,87.9
13:16:49,0.5,66.0,87.9
13:16:50,0.5,66.0,87.9
13:16:51,0.5,66.0,87.9
13:16:52,0.5,66.0,87.9
13:16:53,0.5,66.0,87.9
13:16:54,0.5,66.0,87.9
13:16:55,1.0,66.0,87.9
13:16:56,0.0,66.0,87.9
13:16:57,1.0,66.0,87.9
13:16:58,0.5,66.0,87.9
13:16:59,1.0,66.0,87.9
13:17:00,1.0,66.0,87.9
13:17:01,1.5,66.0,87.9
13:17:02,0.0,66.0,87.9
13:17:03,1.6,66.0,87.9
13:17:04,2.1,66.0,87.9
13:17:05,0.5,66.0,87.9
13:17:06,1.0,66.0,87.9
13:17:07,0.0,66.0,87.9
13:17:08,1.0,66.0,87.9
13:17:09,0.5,66.0,87.9
13:17:10,0.5,66.0,87.9
13:17:11,1.0,66.0,87.9
13:17:12,0.0,66.0,87.9
13:17:13,1.0,66.0,87.9
13:17:14,0.0,66.0,87.9
13:17:15,1.5,66.0,87.9
13:17:16,0.0,66.0,87.9
13:17:17,1.0,66.0,87.9
13:17:18,1.0,66.0,87.9
13:17:19,0.5,66.0,87.9
13:17:20,1.0,66.0,87.9
13:17:21,0.0,66.0,87.9
13:17:22,1.0,66.0,87.9
13:17:23,1.0,66.0,87.9
13:17:24,1.0,66.0,87.9
13:17:25,0.0,66.0,87.9
13:17:26,0.5,66.0,87.9
13:17:27,1.0,66.0,87.9
13:17:28,1.0,66.0,87.9
13:17:29,0.5,66.0,87.9
13:17:30,0.5,66.0,87.9
13:17:31,0.5,66.0,87.9
13:17:32,1.0,66.0,87.9
13:17:33,0.5,66.0,87.9
13:17:34,1.0,66.0,87.9
13:17:35,0.5,66.0,87.9
13:17:36,0.5,66.0,87.9
13:17:37,0.5,66.0,87.9
13:17:38,0.5,66.0,87.9
13:17:39,0.5,66.0,87.9
13:17:40,1.0,66.0,87.9
13:17:41,0.5,66.0,87.9
13:17:42,1.0,66.0,87.9
13:17:43,0.0,66.0,87.9
13:17:44,1.0,66.0,87.9
13:17:45,1.0,66.0,87.9
13:17:46,0.0,66.0,87.9
13:17:47,1.0,66.0,87.9
13:17:48,0.5,66.0,87.9
13:17:49,0.0,66.0,87.9
13:17:50,1.0,66.0,87.9
13:17:51,0.0,66.0,87.9
13:17:52,0.5,66.0,87.9
13:17:53,0.5,66.0,87.9
13:17:54,0.5,66.0,87.9
13:17:55,0.5,66.0,87.9
13:17:56,0.5,66.0,87.9
13:17:57,0.0,66.0,87.9
13:17:58,1.0,66.0,87.9
13:17:59,0.5,66.0,87.9
13:18:00,0.5,66.0,87.9
13:18:01,0.5,66.0,87.9
13:18:02,2.6,66.0,87.9
13:18:03,10.3,66.0,87.9
13:18:04,16.0,66.0,87.9
13:18:05,3.6,66.0,87.9
13:18:06,12.1,66.0,87.9
13:18:07,9.4,66.0,87.9
13:18:09,3.6,66.0,87.9
13:18:10,11.1,66.0,87.9
13:18:11,6.3,66.0,87.9
13:18:12,6.7,66.0,87.9
13:18:13,16.5,66.0,87.9
13:18:14,5.3,66.0,87.9
13:18:15,2.6,66.0,87.9
13:18:16,1.0,66.0,87.9
13:18:17,1.0,66.0,87.9
13:18:18,0.0,66.0,87.9
13:18:19,1.0,66.0,87.9
13:18:20,0.5,66.0,87.9
13:18:21,0.0,66.0,87.9
13:18:22,1.5,66.0,87.9
13:18:23,0.5,66.0,87.9
13:18:24,0.5,66.0,87.9
13:18:25,1.0,66.0,87.9
13:18:26,1.0,66.0,87.9
13:18:27,0.5,66.0,87.9
13:18:28,0.5,66.0,87.9
13:18:29,0.5,66.0,87.9
13:18:30,0.5,66.0,87.9
13:18:31,0.5,66.0,87.9
13:18:32,0.5,66.0,87.9
13:18:33,0.0,66.0,87.9
13:18:34,0.5,66.0,87.9
13:18:35,1.0,66.0,87.9
13:18:36,0.0,66.0,87.9
13:18:37,0.5,66.0,87.9
13:18:38,0.5,66.0,87.9
13:18:39,0.5,66.0,87.9
13:18:40,0.5,66.0,87.9
13:18:41,0.5,66.0,87.9
13:18:42,0.5,66.0,87.9
13:18:43,0.5,66.0,87.9
13:18:44,1.0,66.0,87.9
13:18:45,0.0,66.0,87.9
13:18:46,0.5,66.0,87.9
13:18:47,1.0,66.0,87.9
13:18:48,1.0,66.0,87.9
13:18:49,0.5,66.0,87.9
13:18:50,0.0,66.0,87.9
13:18:51,0.0,66.0,87.9
13:18:52,0.5,66.0,87.9
13:18:53,1.0,66.0,87.9
13:18:54,0.5,66.0,87.9
13:18:55,1.0,66.0,87.9
13:18:56,0.0,66.0,87.9
13:18:57,0.5,66.0,87.9
13:18:58,1.0,66.0,87.9
13:18:59,0.0,66.0,87.9
13:19:00,1.0,66.0,87.9
13:19:01,0.0,66.0,87.9
13:19:02,0.5,66.0,87.9
13:19:03,0.5,66.0,87.9
13:19:04,1.1,66.0,87.9
13:19:05,1.5,66.0,87.9
13:19:06,1.0,66.0,87.9
13:19:07,1.0,66.0,87.9
13:19:08,0.0,66.0,87.9
13:19:09,0.5,66.0,87.9
13:19:10,1.0,66.0,87.9
13:19:11,0.5,66.0,87.9
13:19:12,0.5,66.0,87.9
13:19:13,1.0,66.0,87.9
13:19:14,0.5,66.0,87.9
13:19:15,0.5,66.0,87.9
13:19:16,0.5,66.0,87.9
13:19:17,1.0,66.0,87.9
13:19:18,0.5,66.0,87.9
13:19:19,1.0,66.0,87.9
13:19:20,1.0,66.0,87.9
13:19:21,0.5,66.0,87.9
13:19:22,1.0,66.0,87.9
13:19:23,1.0,66.0,87.9
13:19:24,0.0,66.0,87.9
13:19:25,0.5,66.0,87.9
13:19:26,1.0,66.0,87.9
13:19:27,0.5,66.0,87.9
13:19:28,0.5,66.0,87.9
13:19:29,0.5,66.0,87.9
13:19:30,0.5,66.0,87.9
13:19:31,0.5,66.0,87.9
13:19:32,0.5,66.0,87.9
13:19:33,0.5,66.0,87.9
13:19:34,0.5,66.0,87.9
13:19:35,0.5,66.0,87.9
13:19:36,1.0,66.0,87.9
13:19:37,0.5,66.0,87.9
13:19:38,0.5,66.0,87.9
13:19:39,0.5,66.0,87.9
